ts_code,name,industry
000001.SZ,平安银行,银行
000002.SZ,万科A,全国地产
000006.SZ,深振业A,区域地产
000009.SZ,中国宝安,电气设备
000021.SZ,深科技,元器件
000027.SZ,深圳能源,火力发电
000029.SZ,深深房A,区域地产
000032.SZ,深桑达A,建筑工程
000034.SZ,神州数码,软件服务
000039.SZ,中集集团,运输设备
000050.SZ,深天马A,元器件
000060.SZ,中金岭南,铅锌
000061.SZ,农产品,农业综合
000062.SZ,深圳华强,元器件
000063.SZ,中兴通讯,通信设备
000066.SZ,中国长城,IT设备
000069.SZ,华侨城A,全国地产
000088.SZ,盐田港,港口
000089.SZ,深圳机场,机场
000099.SZ,中信海直,空运
000100.SZ,TCL科技,元器件
000155.SZ,川能动力,新型电力
000157.SZ,中联重科,工程机械
000158.SZ,常山北明,软件服务
000166.SZ,申万宏源,证券
000301.SZ,东方盛虹,化纤
000333.SZ,美的集团,家用电器
000338.SZ,潍柴动力,汽车配件
000400.SZ,许继电气,电气设备
000403.SZ,派林生物,生物制药
000408.SZ,藏格矿业,农药化肥
000415.SZ,渤海租赁,多元金融
000422.SZ,湖北宜化,农药化肥
000423.SZ,东阿阿胶,中成药
000425.SZ,徐工机械,工程机械
000426.SZ,兴业银锡,铅锌
000429.SZ,粤高速A,路桥
000506.SZ,招金黄金,黄金
000513.SZ,丽珠集团,化学制药
000519.SZ,中兵红箭,专用机械
000528.SZ,柳工,工程机械
000534.SZ,万泽股份,生物制药
000537.SZ,绿发电力,新型电力
000538.SZ,云南白药,中成药
000539.SZ,粤电力A,火力发电
000543.SZ,皖能电力,火力发电
000547.SZ,航天发展,通信设备
000553.SZ,安道麦A,农药化肥
000555.SZ,神州信息,软件服务
000559.SZ,万向钱潮,汽车配件
000563.SZ,陕国投A,多元金融
000564.SZ,供销大集,百货
000568.SZ,泸州老窖,白酒
000581.SZ,威孚高科,汽车配件
000582.SZ,北部湾港,港口
000591.SZ,太阳能,新型电力
000592.SZ,平潭发展,林业
000596.SZ,古井贡酒,白酒
000598.SZ,兴蓉环境,水务
000603.SZ,盛达资源,铅锌
000617.SZ,中油资本,多元金融
000623.SZ,吉林敖东,中成药
000625.SZ,长安汽车,汽车整车
000629.SZ,钒钛股份,小金属
000630.SZ,铜陵有色,铜
000636.SZ,风华高科,元器件
000651.SZ,格力电器,家用电器
000657.SZ,中钨高新,小金属
000661.SZ,长春高新,生物制药
000681.SZ,视觉中国,互联网
000682.SZ,东方电子,电气设备
000683.SZ,博源化工,化工原料
000686.SZ,东北证券,证券
000688.SZ,国城矿业,铅锌
000703.SZ,恒逸石化,化纤
000708.SZ,中信特钢,特种钢
000709.SZ,河钢股份,普钢
000723.SZ,美锦能源,焦炭加工
000725.SZ,京东方A,元器件
000728.SZ,国元证券,证券
000729.SZ,燕京啤酒,啤酒
000733.SZ,振华科技,元器件
000737.SZ,北方铜业,铜
000738.SZ,航发控制,航空
000739.SZ,普洛药业,化学制药
000750.SZ,国海证券,证券
000761.SZ,本钢板材,普钢
000762.SZ,西藏矿业,小金属
000766.SZ,通化金马,化学制药
000768.SZ,中航西飞,航空
000776.SZ,广发证券,证券
000778.SZ,新兴铸管,钢加工
000783.SZ,长江证券,证券
000785.SZ,居然智家,百货
000786.SZ,北新建材,其他建材
000791.SZ,甘肃能源,水力发电
000792.SZ,盐湖股份,农药化肥
000799.SZ,酒鬼酒,白酒
000800.SZ,一汽解放,汽车整车
000801.SZ,四川九洲,家用电器
000807.SZ,云铝股份,铝
000811.SZ,冰轮环境,工程机械
000818.SZ,航锦科技,化工原料
000825.SZ,太钢不锈,特种钢
000830.SZ,鲁西化工,化工原料
000831.SZ,中国稀土,小金属
000858.SZ,五粮液,白酒
000875.SZ,电投绿能,火力发电
000876.SZ,新希望,饲料
000877.SZ,天山股份,水泥
000878.SZ,云南铜业,铜
000883.SZ,湖北能源,水力发电
000887.SZ,中鼎股份,汽车配件
000893.SZ,亚钾国际,农药化肥
000895.SZ,双汇发展,食品
000898.SZ,鞍钢股份,普钢
000901.SZ,航天科技,汽车配件
000902.SZ,新洋丰,农药化肥
000921.SZ,海信家电,家用电器
000927.SZ,中国铁物,仓储物流
000932.SZ,华菱钢铁,普钢
000933.SZ,神火股份,铝
000935.SZ,四川双马,水泥
000937.SZ,冀中能源,煤炭开采
000938.SZ,紫光股份,IT设备
000951.SZ,中国重汽,汽车整车
000958.SZ,电投产融,新型电力
000959.SZ,首钢股份,普钢
000960.SZ,锡业股份,小金属
000962.SZ,东方钽业,小金属
000963.SZ,华东医药,化学制药
000966.SZ,长源电力,火力发电
000967.SZ,盈峰环境,环境保护
000969.SZ,安泰科技,小金属
000970.SZ,中科三环,矿物制品
000973.SZ,佛塑科技,塑料
000975.SZ,山金国际,黄金
000977.SZ,浪潮信息,IT设备
000980.SZ,众泰汽车,汽车配件
000981.SZ,山子高科,汽车配件
000983.SZ,山西焦煤,煤炭开采
000987.SZ,越秀资本,多元金融
000988.SZ,华工科技,专用机械
000997.SZ,新大陆,IT设备
000998.SZ,隆平高科,种植业
000999.SZ,华润三九,中成药
001203.SZ,大中矿业,普钢
001213.SZ,中铁特货,铁路
001267.SZ,汇绿生态,通信设备
001270.SZ,铖昌科技,半导体
001287.SZ,中电港,元器件
001289.SZ,龙源电力,新型电力
001309.SZ,德明利,半导体
001337.SZ,四川黄金,黄金
001389.SZ,广合科技,元器件
001696.SZ,宗申动力,摩托车
001872.SZ,招商港口,港口
001896.SZ,豫能控股,火力发电
001965.SZ,招商公路,路桥
001979.SZ,招商蛇口,全国地产
002001.SZ,新和成,化学制药
002007.SZ,华兰生物,生物制药
002008.SZ,大族激光,专用机械
002010.SZ,传化智联,仓储物流
002015.SZ,协鑫能科,新型电力
002017.SZ,东信和平,通信设备
002025.SZ,航天电器,元器件
002027.SZ,分众传媒,广告包装
002028.SZ,思源电气,电气设备
002031.SZ,巨轮智能,汽车配件
002032.SZ,苏泊尔,家用电器
002044.SZ,美年健康,医疗保健
002046.SZ,国机精工,机械基件
002048.SZ,宁波华翔,汽车配件
002049.SZ,紫光国微,半导体
002050.SZ,三花智控,家用电器
002056.SZ,横店东磁,电气设备
002064.SZ,华峰化学,化纤
002065.SZ,东华软件,软件服务
002074.SZ,国轩高科,电气设备
002078.SZ,太阳纸业,造纸
002080.SZ,中材科技,玻璃
002085.SZ,万丰奥威,汽车配件
002092.SZ,中泰化学,化工原料
002097.SZ,山河智能,工程机械
002120.SZ,韵达股份,仓储物流
002126.SZ,银轮股份,汽车配件
002128.SZ,电投能源,煤炭开采
002129.SZ,TCL中环,电气设备
002130.SZ,沃尔核材,电气设备
002131.SZ,利欧股份,互联网
002138.SZ,顺络电子,元器件
002139.SZ,拓邦股份,元器件
002142.SZ,宁波银行,银行
002145.SZ,钛能化学,化工原料
002149.SZ,西部材料,小金属
002151.SZ,北斗星通,通信设备
002152.SZ,广电运通,IT设备
002153.SZ,石基信息,软件服务
002155.SZ,湖南黄金,黄金
